clinical_variable,feature,correlation,p_value,n_samples,significant
heart_rate,47,-0.0036837712214114323,0.4759192996399535,37452,False
heart_rate,48,0.00511273795662448,0.3224591422085937,37452,False
heart_rate,49,-0.002362394762863197,0.6475500964281667,37452,False
heart_rate,50,-0.0037506027522814563,0.4679525303943399,37452,False
heart_rate,51,-0.004416176642931931,0.3927631714865516,37452,False
heart_rate,52,-0.0079309866829245,0.12482838535226168,37452,False
heart_rate,53,0.004674633770266872,0.3656592392136203,37452,False
heart_rate,54,-0.0002624465019517685,0.9594942018216239,37452,False
heart_rate,55,-0.002002625420372628,0.6983520945753379,37452,False
heart_rate,56,-0.006065783881646162,0.24045366688016567,37452,False
heart_rate,57,0.004347029016523424,0.40021600441037763,37452,False
heart_rate,58,-0.0017448010452081313,0.7356254926301963,37452,False
heart_rate,59,-0.0007148810212094368,0.8899694323386083,37452,False
heart_rate,60,-0.0037185018469845918,0.4717699241720141,37452,False
heart_rate,61,0.00010409462449602791,0.9839282930085439,37452,False
heart_rate,62,0.0017993275700821966,0.7276870790702225,37452,False
heart_rate,63,0.0011446222814095945,0.8246985227923848,37452,False
