feature_i,feature_j,correlation,abs_correlation
37,42,0.12083712537272874,0.12083712537272874
9,32,0.12082102460427846,0.12082102460427846
10,42,0.12057081050188301,0.12057081050188301
3,61,-0.12006835980023131,0.12006835980023131
19,58,-0.11980628374536724,0.11980628374536724
3,31,0.11973109535533846,0.11973109535533846
29,50,0.11948488496903026,0.11948488496903026
48,63,0.11913882176613552,0.11913882176613552
14,43,-0.11898011645625282,0.11898011645625282
11,12,0.11878676865905884,0.11878676865905884
28,60,0.11831931937862315,0.11831931937862315
9,28,-0.11822686483356425,0.11822686483356425
13,41,0.11744019084722157,0.11744019084722157
37,58,0.11730350703551386,0.11730350703551386
39,54,0.11722733132107033,0.11722733132107033
4,13,0.11654210339504001,0.11654210339504001
2,54,-0.11616222348297167,0.11616222348297167
25,50,0.11591568013823873,0.11591568013823873
24,38,-0.1158125905361446,0.1158125905361446
19,45,0.11571078120401616,0.11571078120401616
0,29,0.11541577342545073,0.11541577342545073
50,54,0.11528998455480165,0.11528998455480165
26,52,-0.11512751264822178,0.11512751264822178
42,52,0.11469050761892009,0.11469050761892009
32,50,-0.11432152713542641,0.11432152713542641
9,41,-0.1140635885462885,0.1140635885462885
12,33,-0.11333213429638443,0.11333213429638443
13,45,-0.11327540858505626,0.11327540858505626
22,47,0.1131509135576662,0.1131509135576662
11,42,-0.11273520674193849,0.11273520674193849
46,63,0.11270448918729681,0.11270448918729681
9,39,-0.1119455696056547,0.1119455696056547
13,44,-0.11182159072148162,0.11182159072148162
32,38,-0.11169116634373506,0.11169116634373506
4,38,-0.11154710721961135,0.11154710721961135
53,55,0.1114142227849815,0.1114142227849815
25,60,0.11121476439280395,0.11121476439280395
25,30,0.11117120762925692,0.11117120762925692
1,32,0.1109995861713496,0.1109995861713496
13,27,-0.11062478348916431,0.11062478348916431
5,8,-0.11037049486606391,0.11037049486606391
16,54,-0.11004986775223781,0.11004986775223781
37,45,-0.10972959039777085,0.10972959039777085
16,41,0.10953311168390288,0.10953311168390288
50,55,-0.10938197274459578,0.10938197274459578
0,39,0.10916851722428976,0.10916851722428976
42,50,0.10898262607541088,0.10898262607541088
0,36,-0.10889791051718772,0.10889791051718772
31,48,-0.10888504817013166,0.10888504817013166
4,17,0.10880877271913812,0.10880877271913812
6,29,-0.10880833213910744,0.10880833213910744
0,16,-0.10858631153906352,0.10858631153906352
41,48,0.10845311151031532,0.10845311151031532
0,7,0.10833205561375821,0.10833205561375821
23,25,0.10738129620530631,0.10738129620530631
39,53,0.1073011323810836,0.1073011323810836
21,30,-0.10724727770134151,0.10724727770134151
16,29,-0.10720099764576937,0.10720099764576937
7,25,0.10711329417435908,0.10711329417435908
25,54,0.10706430063415774,0.10706430063415774
28,52,0.1069501800444014,0.1069501800444014
8,51,-0.10661541447053823,0.10661541447053823
15,48,-0.10611567559517787,0.10611567559517787
26,28,-0.1056278939858292,0.1056278939858292
13,55,0.10561238148351493,0.10561238148351493
24,30,-0.10559583510822496,0.10559583510822496
34,51,-0.10555482932816537,0.10555482932816537
16,55,0.10539545264837447,0.10539545264837447
17,51,0.1053158662974418,0.1053158662974418
15,33,-0.1052470246241289,0.1052470246241289
38,50,0.10462778865097118,0.10462778865097118
19,40,-0.10460893372446349,0.10460893372446349
51,54,-0.1045536788134532,0.1045536788134532
25,48,0.10447515544282288,0.10447515544282288
26,57,-0.10434488522559655,0.10434488522559655
24,52,-0.10424919479087587,0.10424919479087587
5,58,0.10336600322710215,0.10336600322710215
29,37,0.10327026516319616,0.10327026516319616
19,29,-0.10320372082757442,0.10320372082757442
9,17,-0.10311644841284894,0.10311644841284894
0,15,0.1027989436391672,0.1027989436391672
14,51,-0.10276991611667595,0.10276991611667595
46,50,-0.10244342830153882,0.10244342830153882
28,45,-0.10240468964621141,0.10240468964621141
13,25,-0.10240137070125178,0.10240137070125178
39,55,0.10196194046070725,0.10196194046070725
7,28,0.10188327659278615,0.10188327659278615
24,42,-0.10171808171549786,0.10171808171549786
22,46,0.10166332213533673,0.10166332213533673
6,62,0.10164881188136622,0.10164881188136622
21,25,-0.10164514499981775,0.10164514499981775
62,63,0.10153467357596328,0.10153467357596328
24,47,0.1014766388272164,0.1014766388272164
4,46,0.10131516330061084,0.10131516330061084
7,19,0.10106519024801068,0.10106519024801068
31,47,-0.10090277582754958,0.10090277582754958
16,21,0.10075440530639142,0.10075440530639142
36,42,-0.10054575543220004,0.10054575543220004
9,11,-0.10042095310376867,0.10042095310376867
21,57,-0.10030768572127513,0.10030768572127513
17,45,-0.10019139047075003,0.10019139047075003
23,50,0.10015247194556055,0.10015247194556055
33,51,0.09989114481088678,0.09989114481088678
49,61,0.09976318294136914,0.09976318294136914
1,19,0.0996890236070497,0.0996890236070497
2,30,-0.09954321053371337,0.09954321053371337
38,51,-0.09953441560399613,0.09953441560399613
2,49,0.09952283824221594,0.09952283824221594
19,50,-0.09936137619975546,0.09936137619975546
23,39,0.09922933079897397,0.09922933079897397
18,26,-0.09893563339177695,0.09893563339177695
46,60,-0.09850613013647005,0.09850613013647005
19,47,-0.09850574617303356,0.09850574617303356
4,52,-0.09824519573461571,0.09824519573461571
20,22,0.09810498948750401,0.09810498948750401
35,52,0.09806854992257988,0.09806854992257988
24,56,0.09790726881245797,0.09790726881245797
40,46,0.0978956310472394,0.0978956310472394
22,58,0.09782053334184687,0.09782053334184687
30,36,-0.09778167908488188,0.09778167908488188
14,24,-0.09764669017911551,0.09764669017911551
10,32,-0.09757798820742665,0.09757798820742665
9,50,-0.09741044869811773,0.09741044869811773
27,62,0.09721197320193968,0.09721197320193968
8,22,-0.09706824009088788,0.09706824009088788
32,45,0.09705306532352898,0.09705306532352898
14,62,0.09685608140945089,0.09685608140945089
7,9,-0.09669764839649031,0.09669764839649031
31,56,0.09667224156377487,0.09667224156377487
38,58,0.0965009027827392,0.0965009027827392
1,37,-0.09641418575447962,0.09641418575447962
8,35,-0.09632272834996894,0.09632272834996894
46,54,-0.09621511369475422,0.09621511369475422
18,42,-0.0960446601671387,0.0960446601671387
37,52,0.09592601818067348,0.09592601818067348
28,54,0.09588826151139095,0.09588826151139095
21,34,-0.09581957233542993,0.09581957233542993
2,56,0.09576597592441734,0.09576597592441734
30,31,-0.09564333763492111,0.09564333763492111
22,43,0.09561344855331153,0.09561344855331153
27,52,0.09554697114207147,0.09554697114207147
0,57,0.09546895792692366,0.09546895792692366
13,48,0.09542742842023731,0.09542742842023731
12,38,0.09505890239560086,0.09505890239560086
36,37,-0.09502066578089682,0.09502066578089682
6,45,0.09498296469091169,0.09498296469091169
4,32,0.09479108180074083,0.09479108180074083
4,61,0.0946931290969736,0.0946931290969736
19,36,0.09447443401468653,0.09447443401468653
19,30,-0.09445596669674312,0.09445596669674312
4,43,-0.09443244697452967,0.09443244697452967
35,57,0.09407379077878876,0.09407379077878876
24,51,-0.09379671874735762,0.09379671874735762
36,54,-0.09372814481035445,0.09372814481035445
4,36,0.0936351641406238,0.0936351641406238
50,58,0.09350639131518985,0.09350639131518985
16,19,0.09348229656881914,0.09348229656881914
34,55,-0.09341536164461939,0.09341536164461939
10,16,0.09315263572953296,0.09315263572953296
4,25,-0.09300190944465435,0.09300190944465435
5,15,-0.09280112877129641,0.09280112877129641
13,63,0.09274206545861052,0.09274206545861052
17,28,0.09272722479079051,0.09272722479079051
14,22,0.09271564374833581,0.09271564374833581
38,44,0.09234075293131377,0.09234075293131377
13,26,0.09232985428163759,0.09232985428163759
44,50,0.09219936806317032,0.09219936806317032
9,25,-0.09213058284842618,0.09213058284842618
24,53,0.09203286941834907,0.09203286941834907
21,35,-0.09172196711819258,0.09172196711819258
13,37,-0.09133967539156507,0.09133967539156507
2,15,-0.09133573365298123,0.09133573365298123
15,45,0.09114204878589693,0.09114204878589693
16,27,-0.09108938963431006,0.09108938963431006
29,59,0.09101754072749632,0.09101754072749632
31,38,-0.09088776839577763,0.09088776839577763
4,33,0.09088661571750362,0.09088661571750362
4,41,-0.09045623404003336,0.09045623404003336
46,51,0.09041461461431206,0.09041461461431206
14,26,0.09026643230311836,0.09026643230311836
11,29,-0.08991672891135916,0.08991672891135916
21,54,-0.08986516375463811,0.08986516375463811
25,42,0.08944842989709188,0.08944842989709188
1,20,-0.0894334926109676,0.0894334926109676
16,62,-0.08907324510242047,0.08907324510242047
45,61,0.08888326007751339,0.08888326007751339
34,52,0.08863463153214222,0.08863463153214222
43,60,-0.0884406623149202,0.0884406623149202
33,41,-0.08837681381904709,0.08837681381904709
20,54,0.08835217484976673,0.08835217484976673
41,62,-0.08830207542541142,0.08830207542541142
19,56,0.08815907461032724,0.08815907461032724
24,32,0.08807880584322242,0.08807880584322242
5,51,0.08807190003051282,0.08807190003051282
40,62,-0.08805083039612804,0.08805083039612804
8,37,0.08804027837153677,0.08804027837153677
20,59,0.08800705598466955,0.08800705598466955
38,56,-0.08798959276494914,0.08798959276494914
8,15,0.0879429481932022,0.0879429481932022
13,57,-0.0878609893319394,0.0878609893319394
1,40,0.08780312337457324,0.08780312337457324
46,49,-0.08777876819084207,0.08777876819084207
9,27,0.08767053196489148,0.08767053196489148
28,39,0.08756831752002978,0.08756831752002978
23,45,-0.08754097760043622,0.08754097760043622
15,43,0.08736152749499279,0.08736152749499279
39,58,0.08727486445784961,0.08727486445784961
1,58,-0.08726106789845524,0.08726106789845524
50,51,-0.08725698699962718,0.08725698699962718
34,37,0.08696825656502326,0.08696825656502326
20,37,0.08695716347813805,0.08695716347813805
13,20,-0.0866815686016584,0.0866815686016584
20,39,0.08668026165669218,0.08668026165669218
14,57,-0.08624852185937891,0.08624852185937891
26,40,-0.08619264274858467,0.08619264274858467
48,59,-0.0861781485358879,0.0861781485358879
3,54,-0.08617336837897818,0.08617336837897818
19,32,0.08616290491215135,0.08616290491215135
8,58,-0.08613057271375933,0.08613057271375933
1,23,-0.08612443877403739,0.08612443877403739
3,30,0.08600884983828762,0.08600884983828762
23,56,-0.0859957558452698,0.0859957558452698
41,47,-0.08581473734712122,0.08581473734712122
2,44,-0.08580261713795902,0.08580261713795902
2,33,0.08555723922821885,0.08555723922821885
4,29,-0.08532508551301801,0.08532508551301801
38,61,0.08528159502086176,0.08528159502086176
13,34,-0.08522577457724342,0.08522577457724342
11,50,-0.08511403659541533,0.08511403659541533
8,13,0.08506462022382127,0.08506462022382127
54,58,0.0850073586693177,0.0850073586693177
0,50,0.08500096520286238,0.08500096520286238
1,57,-0.08494228996348217,0.08494228996348217
30,60,0.08490535967183219,0.08490535967183219
29,63,-0.08479887288963443,0.08479887288963443
28,50,0.08468555956902012,0.08468555956902012
49,53,0.08459901479072708,0.08459901479072708
9,57,-0.08459827752401564,0.08459827752401564
33,57,-0.08440672837736124,0.08440672837736124
16,49,0.08398720391613282,0.08398720391613282
4,62,-0.08392992014721982,0.08392992014721982
32,55,0.0838216405436135,0.0838216405436135
36,43,-0.0837391980472504,0.0837391980472504
34,54,0.08348482964936386,0.08348482964936386
18,50,-0.08313615736984588,0.08313615736984588
14,42,-0.08309225044051076,0.08309225044051076
7,57,0.08306488896643557,0.08306488896643557
57,60,0.08292726835011824,0.08292726835011824
47,49,-0.08292692532074925,0.08292692532074925
25,44,0.08286848937746644,0.08286848937746644
19,54,-0.08283942050129864,0.08283942050129864
18,31,-0.08274832264546915,0.08274832264546915
6,51,0.08256790611874085,0.08256790611874085
16,26,0.08254628111450411,0.08254628111450411
13,53,-0.08250858075971146,0.08250858075971146
35,56,0.08246176365619791,0.08246176365619791
56,59,-0.08227889300340614,0.08227889300340614
39,62,-0.0822679295596084,0.0822679295596084
32,57,-0.08225758982241466,0.08225758982241466
13,21,0.08220766777596852,0.08220766777596852
37,54,0.08219647063990272,0.08219647063990272
26,60,-0.08216240746708703,0.08216240746708703
5,33,0.082117879443326,0.082117879443326
0,42,0.08199064662705234,0.08199064662705234
16,25,-0.08197511485223688,0.08197511485223688
17,32,-0.08195601722861863,0.08195601722861863
0,48,-0.08192971923433812,0.08192971923433812
10,63,0.08187592515519636,0.08187592515519636
4,31,0.08182729684443603,0.08182729684443603
28,57,0.08181374315571469,0.08181374315571469
37,57,0.08159405249950037,0.08159405249950037
5,62,-0.08141623533405395,0.08141623533405395
1,22,-0.08099115776421775,0.08099115776421775
46,47,0.0806635585833327,0.0806635585833327
10,49,0.08060334665542113,0.08060334665542113
32,52,0.08051474720469069,0.08051474720469069
20,53,0.08042913233701723,0.08042913233701723
52,63,-0.08038636584557313,0.08038636584557313
57,58,0.0803745125839346,0.0803745125839346
0,9,-0.08035001637946468,0.08035001637946468
6,54,-0.08026145624279023,0.08026145624279023
46,53,-0.0802244750541378,0.0802244750541378
3,11,0.0801515630927011,0.0801515630927011
28,59,0.08011457078175364,0.08011457078175364
42,60,0.08002676791558822,0.08002676791558822
9,18,0.07990398662368017,0.07990398662368017
18,32,-0.07985111562655374,0.07985111562655374
22,36,-0.07973484052940727,0.07973484052940727
17,20,0.07954546917348781,0.07954546917348781
5,30,0.07951629801709476,0.07951629801709476
58,62,0.07948161599989488,0.07948161599989488
18,55,0.07946984058110018,0.07946984058110018
6,55,0.07940447960365843,0.07940447960365843
28,55,0.07940141413169018,0.07940141413169018
10,43,-0.07938937095357405,0.07938937095357405
0,28,0.07935620632134173,0.07935620632134173
5,52,0.07918576022735294,0.07918576022735294
6,49,0.07912509668578298,0.07912509668578298
27,56,0.07910965025728137,0.07910965025728137
54,57,0.07906216313780966,0.07906216313780966
26,47,-0.07905890716125549,0.07905890716125549
24,61,-0.07889461087022934,0.07889461087022934
3,28,-0.07874589652092824,0.07874589652092824
37,39,0.07866436545599065,0.07866436545599065
14,45,0.07854361551260891,0.07854361551260891
44,61,-0.07839877135051902,0.07839877135051902
42,45,-0.07824800462180498,0.07824800462180498
10,30,-0.07794267768935616,0.07794267768935616
45,58,-0.07759643220457048,0.07759643220457048
2,17,0.07749612095819178,0.07749612095819178
16,48,0.07744791242749027,0.07744791242749027
15,49,-0.07734118020462237,0.07734118020462237
17,52,-0.07733161772606012,0.07733161772606012
7,37,-0.07725047080151069,0.07725047080151069
12,30,0.07724123069956533,0.07724123069956533
19,49,0.07706504491495295,0.07706504491495295
17,19,-0.07702689632287214,0.07702689632287214
54,60,0.07700912247484223,0.07700912247484223
0,30,0.07677211218914877,0.07677211218914877
15,35,-0.07669233662998828,0.07669233662998828
5,39,-0.07661217852507811,0.07661217852507811
16,33,-0.076237677103548,0.076237677103548
19,51,0.07609109468437643,0.07609109468437643
52,56,0.07571088132627211,0.07571088132627211
9,58,-0.07549878328873336,0.07549878328873336
27,32,0.07513380736634874,0.07513380736634874
27,28,0.0749123770876935,0.0749123770876935
44,53,0.07467018738926845,0.07467018738926845
2,32,0.0743450980576447,0.0743450980576447
0,4,-0.0742027224574758,0.0742027224574758
1,44,0.0741714510095476,0.0741714510095476
9,19,-0.07407821874973858,0.07407821874973858
25,47,-0.07401722352548719,0.07401722352548719
8,59,-0.07387035526719547,0.07387035526719547
28,58,0.07383040819877063,0.07383040819877063
11,18,0.07380654037431367,0.07380654037431367
8,56,0.07376854521651326,0.07376854521651326
21,60,-0.07371761915818122,0.07371761915818122
38,54,0.07364703308581265,0.07364703308581265
27,37,0.07356054406209278,0.07356054406209278
4,19,0.0735496697398498,0.0735496697398498
26,30,-0.07344725880139064,0.07344725880139064
13,50,-0.07342254052965835,0.07342254052965835
16,37,-0.07341339912269652,0.07341339912269652
33,39,0.07330831289331433,0.07330831289331433
16,45,0.07329149340090722,0.07329149340090722
4,37,-0.07328688966571954,0.07328688966571954
12,57,0.07325857306662345,0.07325857306662345
33,36,0.07322425430307115,0.07322425430307115
8,27,-0.07320560069184064,0.07320560069184064
38,42,0.07292588259963927,0.07292588259963927
31,63,-0.072710185393462,0.072710185393462
9,53,-0.07259790261179355,0.07259790261179355
56,60,0.07259446938764248,0.07259446938764248
30,45,-0.07257120618848605,0.07257120618848605
19,61,0.07256351274843417,0.07256351274843417
50,63,-0.07251582011307559,0.07251582011307559
37,44,0.07248793932381917,0.07248793932381917
27,55,-0.07246774168776132,0.07246774168776132
0,41,-0.0724358748592196,0.0724358748592196
24,28,0.07238275867204047,0.07238275867204047
38,39,0.07230972902821692,0.07230972902821692
9,20,-0.0720906105201354,0.0720906105201354
43,63,-0.07209011635911786,0.07209011635911786
4,20,-0.07197492537492159,0.07197492537492159
40,59,-0.07193203964193656,0.07193203964193656
27,31,0.07186403884815433,0.07186403884815433
40,45,0.07185991225242971,0.07185991225242971
9,33,-0.07183187351234083,0.07183187351234083
42,49,0.07181054952162197,0.07181054952162197
11,44,0.071732654797057,0.071732654797057
60,62,0.07170153539109426,0.07170153539109426
28,61,0.07144364088089862,0.07144364088089862
14,53,-0.07144034748724719,0.07144034748724719
28,38,0.07144026223029368,0.07144026223029368
9,59,-0.0712525933510533,0.0712525933510533
24,25,-0.07125185403464047,0.07125185403464047
8,12,-0.07124704521367908,0.07124704521367908
11,41,0.07120572581129647,0.07120572581129647
30,57,0.07116904154626116,0.07116904154626116
4,63,0.07112300327536612,0.07112300327536612
12,59,0.07110854685846023,0.07110854685846023
31,51,-0.07107136024895654,0.07107136024895654
29,48,-0.07104077744694413,0.07104077744694413
3,58,-0.07103060940402492,0.07103060940402492
27,60,0.07102249576001962,0.07102249576001962
5,26,-0.0710207400805419,0.0710207400805419
8,53,-0.0710074022075982,0.0710074022075982
20,43,0.0709613914467059,0.0709613914467059
25,37,0.07094465108430988,0.07094465108430988
20,23,0.07086659268396865,0.07086659268396865
49,51,0.07080619554733565,0.07080619554733565
43,46,-0.07065903966232356,0.07065903966232356
10,14,-0.07059891564888704,0.07059891564888704
49,56,-0.07055547498453472,0.07055547498453472
2,60,-0.07054979617712588,0.07054979617712588
33,46,0.07053483206621744,0.07053483206621744
6,17,-0.07050044482157623,0.07050044482157623
14,27,0.07044584336865348,0.07044584336865348
58,61,0.07039085105801421,0.07039085105801421
14,18,0.0703756291270632,0.0703756291270632
14,33,-0.07034079905267818,0.07034079905267818
0,45,-0.07026211908558004,0.07026211908558004
46,59,-0.070016829451392,0.070016829451392
25,57,0.0699806699531838,0.0699806699531838
18,54,-0.0699542631794931,0.0699542631794931
33,61,-0.06995099662645297,0.06995099662645297
10,33,-0.06993119058404113,0.06993119058404113
