feature_idx,mean,std,var,min,max,range,avg_logvar,activity,mi_vs_control_diff,mi_vs_control_p,cohens_d,discriminative,strongest_clinical_corr,clinical_corr_value,clinical_corr_p,category
5,-0.597502,1.3909624,1.9347763,-7.4380903,5.552803,12.990893,-6.572556,1.3909624,0.025273680686950684,0.35227423159508764,0.01814732886850834,False,heart_rate,0.008805407236828919,0.08837281446665757,Low Activity
61,0.64242804,1.3906864,1.9340085,-5.617007,6.600108,12.217115,-6.720538,1.3906864,-0.023266255855560303,0.3921719526821037,-0.016848249360919,False,age,0.005096555800773645,0.3239930695517467,Low Activity
48,-0.19663541,1.3890779,1.9295373,-5.738353,6.569975,12.308328,-6.598914,1.3890779,0.057957619428634644,0.03234993143772844,0.041480086743831635,True,heart_rate,0.00511273795662448,0.3224591422085937,Low Activity + Discriminative
34,-0.26298773,1.3863109,1.9218581,-6.5537944,7.711319,14.265114,-6.624306,1.3863109,-5.665421485900879e-05,0.9983316253356116,-4.0698840166442096e-05,False,heart_rate,-0.00213089723416087,0.6800689806638626,Low Activity
28,-0.30648106,1.386306,1.9218444,-6.310663,5.27324,11.583903,-6.5300503,1.386306,-0.017947524785995483,0.506245180490107,-0.012920968234539032,False,age,0.006663780172439677,0.1971963108459064,Low Activity
16,0.474992,1.3831929,1.9132227,-6.6347756,6.5008,13.135576,-6.549167,1.3831929,-0.03558793663978577,0.18590287076925324,-0.02587324194610119,False,heart_rate,-0.00018280878733587989,0.9717791842203876,Low Activity
7,-0.17415506,1.3810748,1.9073677,-5.9034715,6.3178496,12.221321,-6.565744,1.3810748,-0.013115793466567993,0.6266735876300606,-0.009481864050030708,False,age,0.00090818638244894,0.8604894768757065,Low Activity
41,-0.38058686,1.3808479,1.906741,-7.496801,5.666793,13.163593,-6.5183773,1.3808479,0.05489698052406311,0.041624357748958785,0.03966681659221649,True,heart_rate,0.00033013957027180517,0.9490592536321732,Low Activity + Discriminative
17,0.4402084,1.3777752,1.8982644,-5.3524337,7.123713,12.476147,-6.4831057,1.3777752,-0.007063627243041992,0.79286954173896,-0.005110123194754124,False,age,-0.00012623499973093326,0.9805105463470362,Low Activity
43,0.2815567,1.3768669,1.8957626,-5.244858,7.568036,12.812894,-6.7997127,1.3768669,0.021693885326385498,0.4191823876398437,0.015801753848791122,False,heart_rate,-0.0003311519714680462,0.9489032528745018,Low Activity
50,-0.11229012,1.372893,1.8848352,-5.48526,5.9320784,11.417338,-6.7549176,1.372893,-0.016331352293491364,0.54216226107263,-0.012018091045320034,False,age,-0.002053561204717451,0.6910703173360944,Low Activity
21,-0.37681824,1.3725953,1.8840178,-6.236617,5.2886696,11.525287,-6.6118784,1.3725953,0.011127054691314697,0.6776094922425447,0.008119048550724983,False,heart_rate,0.0011849064765706509,0.8186344474279549,Low Activity
26,0.52803147,1.3691345,1.8745292,-4.6552887,6.631183,11.286472,-6.667365,1.3691345,0.029652714729309082,0.2667636090678976,0.021458381786942482,False,heart_rate,0.004767784694185777,0.35618394988239777,Low Activity
40,0.42885926,1.3675491,1.8701905,-7.2352533,7.1505795,14.385833,-6.5861955,1.3675491,-0.007664918899536133,0.7738148105055875,-0.005650421138852835,False,heart_rate,0.0028682668945314927,0.5788505320124933,Low Activity
35,0.6525634,1.3658404,1.8655201,-5.654825,6.7414036,12.396229,-6.521968,1.3658404,0.014132380485534668,0.5956309642865957,0.010396161116659641,False,age,0.003729886123966975,0.47041416143726245,Low Activity
0,0.4978098,1.3633211,1.8586445,-5.67963,6.378751,12.05838,-6.771936,1.3633211,0.00311964750289917,0.9066933776958346,0.002300259657204151,False,age,0.003956883121090134,0.4438345890281566,Low Activity
10,0.19564927,1.360791,1.8517522,-6.526674,6.4102917,12.936966,-6.5933642,1.360791,-0.009394049644470215,0.7236753911520808,-0.006820621434599161,False,age,0.007073109667762232,0.17106294495966953,Low Activity
20,0.80032057,1.3607095,1.8515306,-4.883344,7.263038,12.146382,-6.8773775,1.3607095,0.01027214527130127,0.6989184403058002,0.007496263831853867,False,heart_rate,-0.004191262678135091,0.41731318134182455,Low Activity
60,-0.66667086,1.3550857,1.8362573,-6.211817,5.5409765,11.752793,-6.54679,1.3550857,0.020611703395843506,0.43609427109134014,0.015130802989006042,False,age,0.001303066798854991,0.8009112553923501,Low Activity
45,0.21988836,1.3540227,1.8333776,-5.4468384,6.826887,12.2737255,-6.6778326,1.3540227,-0.0384235680103302,0.1465794729320405,-0.028272056952118874,False,heart_rate,-0.0013686207431298227,0.7911220312465617,Low Activity
33,0.5029318,1.3520063,1.827921,-5.504827,7.3298225,12.83465,-6.737131,1.3520063,0.03630450367927551,0.16959180063696744,0.02653326652944088,False,heart_rate,0.010161989160684894,0.049230954320011,Low Activity
23,-0.25052592,1.3424925,1.8022861,-6.4251056,6.5780244,13.00313,-6.811099,1.3424925,0.03257632255554199,0.21348195425785993,0.024394655600190163,False,age,0.009008315072505177,0.08127894057036313,Low Activity
12,-0.93501043,1.3401726,1.7960627,-7.4437003,5.389862,12.833563,-6.552344,1.3401726,-0.023969173431396484,0.3599919176894848,-0.01769666001200676,False,age,-0.0015334979026520427,0.7666491765705096,Low Activity
8,0.16099267,1.3185287,1.7385179,-5.0013804,6.448114,11.449494,-6.678141,1.3185287,-0.03236934542655945,0.20853618996969203,-0.02477410063147545,False,age,-0.002575937341290539,0.6181366318530815,Low Activity
44,0.5753623,1.3140529,1.7267351,-4.741712,7.433474,12.175186,-6.8356023,1.3140529,0.0012307167053222656,0.9617805483965222,0.0009321116958744824,False,heart_rate,-0.004721902385622331,0.36083158497427154,Low Activity
62,-0.17430116,1.3140107,1.7266244,-6.560745,5.8793163,12.440062,-6.524011,1.3140107,-0.0033974796533584595,0.8946521533468277,-0.002581437584012747,False,heart_rate,0.0017993275700821966,0.7276870790702225,Low Activity
14,-0.1398095,1.3139751,1.7265306,-6.6091194,5.8765907,12.48571,-6.665259,1.3139751,0.005120530724525452,0.841592488072952,0.003897925838828087,False,age,0.0011851408365310455,0.8185992000149532,Low Activity
55,0.16210899,1.304788,1.7024716,-6.177604,5.4400916,11.617696,-6.7028713,1.304788,0.014889240264892578,0.5584075262318737,0.011374964378774166,False,age,0.004318216120493847,0.40334642474511556,Low Activity
