feature,mi_mean,control_mean,mean_diff,mi_std,control_std,t_statistic,p_value,cohens_d,significant,p_value_bonferroni,significant_bonferroni
10,0.18837014,0.19776419,-0.00939405,1.3961385,1.3582025,-0.35355389652438846,0.7236753911520808,-0.0068206214,False,46.31522503373317,False
59,0.35646325,0.365349,-0.008885741,1.4299154,1.4358295,-0.3171937307733409,0.7510985262119906,-0.006201335,False,48.0703056775674,False
11,0.3395974,0.33156526,0.008032143,1.4017996,1.4290721,0.28843317494743,0.7730169092405061,0.005674415,False,49.47308219139239,False
40,0.42145947,0.4291244,-0.007664919,1.3444191,1.3685172,-0.2873908267649256,0.7738148105055875,-0.005650421,False,49.5241478723576,False
47,-0.64475083,-0.6370201,-0.0077307224,1.4674679,1.4390534,-0.2747965662469876,0.7834741819294286,-0.0053193164,False,50.14234764348343,False
17,0.4321695,0.43923312,-0.0070636272,1.3870609,1.3774849,-0.2625882289594349,0.79286954173896,-0.005110123,False,50.74365067129344,False
54,0.122613855,0.11584775,0.006766103,1.4396836,1.4160957,0.2444708826605798,0.8068676041595171,0.004738372,False,51.63952666620909,False
14,-0.13586514,-0.14098567,0.0051205307,1.314754,1.3125557,0.199858420375345,0.841592488072952,0.0038979258,False,53.861919236668925,False
6,-0.66082686,-0.6562902,-0.0045366883,1.4469471,1.3962795,-0.1659681301519188,0.8681830033636254,-0.0031907188,False,55.56371221527203,False
62,-0.17748715,-0.17408967,-0.0033974797,1.3179663,1.3142695,-0.13242090430498005,0.8946521533468277,-0.0025814376,False,57.25773781419697,False
0,0.5010094,0.49788976,0.0031196475,1.347174,1.3651967,0.11721119550626356,0.9066933776958346,0.0023002597,False,58.02837617253341,False
27,0.7985333,0.80137545,-0.0028421283,1.4013678,1.3947934,-0.10436363686733117,0.9168813853520186,-0.0020328732,False,58.68040866252919,False
13,0.12771067,0.12625465,0.0014560223,1.4646975,1.4465302,0.05151943697309465,0.9589119122455859,0.0010002612,False,61.3703623837175,False
44,0.5760745,0.57484376,0.0012307167,1.3256475,1.3150377,0.04791965997383944,0.9617805483965222,0.0009321117,False,61.55395509737742,False
51,-0.7099219,-0.71111417,0.0011922717,1.4427748,1.4159241,0.04307567113281754,0.965641462222461,0.00083409913,False,61.8010535822375,False
34,-0.26226908,-0.26221243,-5.6654215e-05,1.396586,1.3874693,-0.0020910142305600628,0.9983316253356116,-4.069884e-05,False,63.89322402147914,False
